"","trackdistm","sldistm","trackdistNm","sldistNm","lat_start","lon_start","lat_end","lon_end","mean_grnd_spd","med_grnd_spd","start_time","end_time","midoc.stn","CE","total.t","ce_duration","t.check"
"109",4645.82038729865,4596.47804383572,2.50854323886462,2.4819004951154,-60.572988,82.870296,-60.538549,82.824172,5.0359474887395,4.57800006866455,2016-02-06 05:15:10,2016-02-06 05:44:59,"MIDOC20",5,29.85,29.8166688044866,-0.0333311955134086
"110",5183.80089548725,5148.07950597962,2.79902958012461,2.77974156581024,-60.53833,82.82391,-60.500402,82.77038,4.50718859535298,4.95499992370605,2016-02-06 05:45:11,2016-02-06 06:22:17,"MIDOC20",6,37.1333333333333,37.1166624069214,-0.0166709264119476
"111",26205.065519194,26171.9945979691,14.1496085625475,14.1317516871356,-60.16409,82.203446,-59.967505,81.946176,9.5276111171746,9.52700042724609,2016-02-06 16:21:58,2016-02-06 17:50:59,"MIDOC21",1,89.05,89.0166671991348,-0.0333328008651677
"112",8049.89518576182,6452.23914834603,4.34659725481839,3.48393169382348,-59.96702,81.945551,-59.917607,81.885348,8.74097427092409,9.28200006484986,2016-02-06 17:51:12,2016-02-06 18:20:59,"MIDOC21",2,29.8333333333333,29.7999935944875,-0.0333397388458287
"113",1560.90492499377,1375.78928637064,0.842821540584861,0.742867055700831,-59.917783,81.885247,-59.929095,81.895113,1.69536515772509,1.70799994468689,2016-02-06 18:21:11,2016-02-06 18:51:00,"MIDOC21",3,29.8333333333333,29.8333295981089,-3.73522440710872e-06
"114",6827.80506772747,5540.21870056744,3.68672114095492,2.99147986890229,-59.929183,81.895148,-59.888821,81.83731,7.4302624572771,9.36100006103516,2016-02-06 18:51:12,2016-02-06 19:20:59,"MIDOC21",4,29.8166666666667,29.7833327929179,-0.0333338737487807
"115",8228.82840980132,8217.97554371226,4.44321350167109,4.43735342065624,-59.888372,81.836754,-59.825249,81.760883,8.93713965895456,8.83100032806396,2016-02-06 19:21:10,2016-02-06 19:50:59,"MIDOC21",5,29.8333333333333,29.8166687965393,-0.0166645367940284
"116",11693.9572254374,11678.7119264696,6.31423406157548,6.30600225568072,-59.824927,81.760339,-59.741951,81.633266,8.27647138311182,8.29599952697754,2016-02-06 19:51:11,2016-02-06 20:36:53,"MIDOC21",6,45.75,45.7166591882706,-0.0333408117294312
"117",19424.5012974573,15703.6503743099,10.4883954470712,8.47929594516125,-59.34088,81.079521,-59.22712,80.916827,7.00865577959322,9.68099975585938,2016-02-07 09:03:09,2016-02-07 10:32:59,"MIDOC22",1,89.85,89.8333344062169,-0.016665593783074
"118",9906.01590346899,9877.54481162759,5.3488226291894,5.333449463852,-59.226679,80.916154,-59.154685,80.815277,10.7628898785859,10.798999786377,2016-02-07 10:33:11,2016-02-07 11:02:58,"MIDOC22",2,29.8333333333333,29.7999936024348,-0.0333397308985433
"119",6529.90612235293,6513.06417953304,3.52586852010732,3.51677459518812,-59.154269,80.814595,-59.107014,80.747612,10.6256471184478,10.6125001907349,2016-02-07 11:03:10,2016-02-07 11:23:00,"MIDOC22",3,29.8333333333333,19.8333360036214,-9.99999732971192
"120",9439.76413216486,9406.14142293822,5.09706672151134,5.07891190430545,-59.079443,80.707624,-59.010517,80.612965,10.7811723479103,10.7790002822876,2016-02-07 11:34:40,2016-02-07 12:02:59,"MIDOC22",4,29.8333333333333,28.3333247979482,-1.50000853538513
"121",10035.2259531661,10012.1464616282,5.41859049999372,5.40612856698138,-59.010048,80.612358,-58.935463,80.515229,10.8837738771934,10.8929996490479,2016-02-07 12:03:11,2016-02-07 12:33:00,"MIDOC22",5,29.8333333333333,29.8333296060562,-3.72727712161236e-06
"122",10541.0495602959,10168.6674689913,5.6917134974287,5.49064318055414,-58.935005,80.514606,-58.864784,80.401887,8.05478638940492,10.6529998779297,2016-02-07 12:33:12,2016-02-07 13:15:33,"MIDOC22",6,42.4,42.3666576067607,-0.0333423932393373
"123",34728.2089081284,34685.0390990389,18.7517394974063,18.7284296567998,-58.470426,80.810461,-58.309016,81.3176,12.6417453212238,12.6420001983643,2016-02-08 00:00:58,2016-02-08 01:29:59,"MIDOC23",1,89.0333333333333,89.0166671911875,-0.0166661421457945
"124",10172.5264330724,10151.3717288192,5.49272685522249,5.48130422457801,-58.308663,81.318719,-58.262713,81.468167,11.04894804182,12.3474998474121,2016-02-08 01:30:10,2016-02-08 01:59:59,"MIDOC23",2,29.8333333333333,29.8166688044866,-0.0166645288467429
"125",3354.66486630919,3296.25001300838,1.81137477721771,1.77983326827397,-58.262596,81.468588,-58.251781,81.520851,3.63933445263229,3.56299996376038,2016-02-08 02:00:11,2016-02-08 02:29:58,"MIDOC23",3,29.8333333333333,29.7999936024348,-0.0333397308985433
"126",4910.31125365847,4871.43803993639,2.65135693359166,2.63036706972993,-58.251661,81.521299,-58.236308,81.598967,5.3284474796423,5.3289999961853,2016-02-08 02:30:10,2016-02-08 02:59:59,"MIDOC23",4,29.8333333333333,29.816668788592,-0.0166645447413138
"127",3278.28379268053,3214.06634886909,1.7701322818444,1.73545762353631,-58.23623,81.599541,-58.230795,81.653272,3.56296812127901,2.89750003814697,2016-02-08 03:00:12,2016-02-08 03:29:59,"MIDOC23",5,29.8333333333333,29.7999936103821,-0.0333397229512542
"128",3137.70392150801,3047.70804174893,1.6942251963457,1.64563129109863,-58.230783,81.653507,-58.228907,81.705258,2.5209463912433,2.52300000190735,2016-02-08 03:30:11,2016-02-08 04:10:34,"MIDOC23",6,40.4,40.399991997083,-8.00291697089506e-06
"129",23816.6518525429,23627.6753011243,12.8599678843435,12.7579286725692,-58.065827,82.645863,-57.985678,83.016085,7.72302102774024,5.72850012779235,2016-02-08 13:07:07,2016-02-08 14:46:59,"MIDOC24",1,99.9,99.8833248058955,-0.016675194104522
"130",2307.4044840466,2174.41115653039,1.24589920299235,1.17408852484668,-57.985616,83.016293,-57.976623,83.048914,2.50714254119398,2.49300003051758,2016-02-08 14:47:11,2016-02-08 15:16:58,"MIDOC24",2,29.8333333333333,29.7999935944875,-0.0333397388458287
"131",2420.86793302114,2280.23513088071,1.3071645865103,1.23122892056496,-57.976562,83.049119,-57.966734,83.08292,2.63198548498798,2.59100008010864,2016-02-08 15:17:10,2016-02-08 15:47:00,"MIDOC24",3,29.85,29.8499904076258,-9.59237416608971e-06
"132",2366.76976760397,2224.88871524317,1.27795390340613,1.20134423601656,-57.966677,83.083139,-57.957978,83.116974,2.58060704462351,2.54099988937378,2016-02-08 15:47:12,2016-02-08 16:16:59,"MIDOC24",4,29.8166666666667,29.7999936103821,-0.0166730562845849
"133",2515.15704795764,2327.22883028742,1.35807665414406,1.25660349751551,-57.957924,83.117179,-57.94969,83.153304,2.73221252955313,2.69799995422363,2016-02-08 16:17:11,2016-02-08 16:46:58,"MIDOC24",5,29.8333333333333,29.7999935944875,-0.0333397388458287
"134",3158.12239000221,3005.18394069612,1.70525029133842,1.62267010506646,-57.949626,83.15352,-57.940345,83.201167,2.70376770967332,2.68700003623962,2016-02-08 16:47:10,2016-02-08 17:25:01,"MIDOC24",6,37.8833333333333,37.8666575988134,-0.0166757345199571
