"station.IKMT"	"start"	"mid"	"end"	"bottom.duration"	"cable.length"	"cable.angle"	"logger"	"estimated.depth"	"max.recorded.depth"	"depth.uncertainty"	"total.distance"	"avg.speed"	"down.speed"	"up.speed"	"avg.air.temp.boat"	"avg.SSS.boat"	"avg.SST.boat"	"avg.wind.boat"	"avg.atmP.boat"	"avg.speed.boat"	"avg.depth.logger"	"avg.temp.logger"	"https://protect-au.mimecast.com/s/SAcoC91Zn7frrLxAcPurP-?domain=cable.down.speed.per.mn"	"https://protect-au.mimecast.com/s/QuaAC0YZ4yFYYq4Qt3WF_8?domain=cable.up.speed.per.mn"	"longitude.mid"	"latitude.mid"
"IK2017-1"	2017-01-09 03:50:00	2017-01-09 04:09:00	2017-01-09 04:44:00	0	550	60	NA	275	NA	NA	1.59385453618757	1.72909090909091	1.93	1.62777777777778	17.4581818181818	13.5196	16.90926	22.8781818181818	1.01242181818182	1.72909090909091	NA	NA	0.482456140350877	0.261904761904762	52.77330333	-40.00195333
"IK2017-10"	2017-01-16 20:26:00	2017-01-16 20:31:00	2017-01-16 20:51:00	15	120	55	NA	68.8291723621255	NA	NA	1.21168137553913	2.88846153846154	2.7	2.78333333333333	3.32307692307692	0	3.44042307692308	0	0.99095	2.88846153846154	NA	NA	0.4	0.4	62.97646167	-56.45981333
"IK2017-11"	2017-01-16 21:15:00	2017-01-16 22:02:00	2017-01-16 23:12:00	0	1800	60	NA	900	NA	NA	4.57722175409511	2.35254237288136	2.86041666666667	2.0169014084507	3.79915254237288	0	3.46781355932203	0	0.985093220338983	2.35254237288136	NA	NA	0.638297872340426	0.428571428571429	63.08620167	-56.42329667
"IK2017-12"	2017-01-19 17:36:00	2017-01-19 18:13:00	2017-01-19 19:00:00	3	1250	65	"nke-ipev"	528.272827175874	517.6	1.02061983612031	3.19508561157367	2.29882352941176	2.74473684210526	1.90666666666667	5.38941176470588	33.7732941176471	6.47337647058824	0	1.02069294117647	2.29882352941176	242.261084337349	3.86024096385542	0.563063063063063	0.473484848484849	58.97630667	-47.81104167
"IK2017-13"	2017-01-19 22:50:00	2017-01-19 23:29:00	2017-01-20 00:28:00	0	1250	63	"nke-ipev"	567.488124674433	485.9	1.167911349402	4.04258478440437	2.48181818181818	2.925	2.18833333333333	6.63232323232323	0	6.41025510204082	0	1.0202898989899	2.48181818181818	260.328979591837	3.78795918367347	0.534188034188034	0.353107344632768	59.87395167	-47.95852333
"IK2017-14"	2017-01-21 17:24:00	2017-01-21 17:56:00	2017-01-21 18:39:00	5	1200	57	"nke-ipev"	653.566842018033	597.79	1.09330507706391	2.86486575482592	2.40263157894737	2.82424242424242	2.12051282051282	6.79210526315789	0	5.77633783783784	0	0.998231578947368	2.40263157894737	290.7204	2.89386666666667	0.625	0.526315789473684	64.87171667	-48.42050667
"IK2017-15"	2017-01-22 12:21:00	2017-01-22 12:58:00	2017-01-22 13:42:00	5	1200	57	"nke-ipev"	653.566842018033	545.19	1.19878728886816	3.03305896222525	2.15731707317073	2.73947368421053	1.64	4.91463414634146	16.9490256410256	4.56830769230769	0	0.995482926829268	2.15731707317073	244.241898734177	2.69721518987342	0.540540540540541	0.512820512820513	68.37136667	-50.64855667
"IK2017-16"	2017-01-24 23:32:00	2017-01-24 23:39:00	2017-01-24 23:57:00	13	160	65	"nke-ipev"	67.6189218785119	71.1	0.951039688867959	1.26570802651611	3.01538461538462	3.2	2.43333333333333	5.24615384615385	33.7118461538462	5.54507692307692	0	1.00268461538462	3.01538461538462	53.3464	4.9696	0.380952380952381	0.533333333333333	69.91101833	-49.11987333
"IK2017-17"	2017-01-25 01:10:00	2017-01-25 01:16:00	2017-01-25 01:29:00	10	100	60	"nke-ipev"	50	39.92	1.25250501002004	1.21677032129675	3.77	3.75714285714286	2.75	5.13	33.76455	5.1092	0	1.0043	3.77	23.8415789473684	5.02473684210526	0.277777777777778	0.555555555555556	69.80708667	-49.20692833
"IK2017-18"	2017-01-25 15:37:00	2017-01-25 16:28:00	2017-01-25 18:01:00	15	1800	60	NA	900	NA	NA	5.47521428372003	2.3048275862069	2.85769230769231	2.01518987341772	4.92068965517241	33.9268068965517	4.78642068965517	0	1.00998689655172	2.3048275862069	NA	NA	0.588235294117647	0.384615384615385	72.32136167	-48.80193167
"IK2017-19"	2017-01-25 18:22:00	2017-01-25 19:00:00	2017-01-25 20:42:00	15	1255	60	"nke-ipev"	627.5	590.59	1.06249682520869	5.56722604632426	2.39645390070922	3	2.18181818181818	4.80070921985816	33.9269858156028	4.74814893617021	0	1.00929503546099	2.39645390070922	337.295507246377	2.44478260869565	0.550438596491228	0.240421455938697	72.18529667	-48.77705333
"IK2017-2"	2017-01-10 00:32:00	2017-01-10 01:25:00	2017-01-10 02:47:00	0	1862	60	"mk7-anna"	931	1152.5	0.807809110629067	3.91327092075597	1.74705882352941	2.07222222222222	1.53493975903614	12.4183823529412	33.8372647058824	9.55940441176471	24.5963235294118	1.00896911764706	1.74705882352941	603.816176470588	3.90735294117647	0.585534591194969	0.378455284552846	52.44157667	-42.46308833
"IK2017-20"	2017-01-25 20:56:00	2017-01-25 21:10:00	2017-01-25 21:35:00	14	300	45	"nke-ipev"	212.132034355964	192.58	1.1015268166786	1.56467353076183	2.44	2.85333333333333	2.15833333333333	4.6025	33.926775	4.6451	0	1.0086275	2.44	126.523783783784	2.60891891891892	0.357142857142857	0.454545454545455	72.08701333	-48.72900833
