,Annee,station.IKMT,latitude,longitude,SSTmean,ECmean,Chlamean,bat,temp_200,salinite_200,groupe,Famille,species,abundance
117,2017,IK2017_11,-56.4424,63.0267,2.486160787,0.007518361,0.152399028,-4838,1.1617,33.9919,2,Myctophidae,Diaphus_lucidus,0
118,2017,IK2017_12,-47.8308,59.006,6.19666392,0.017691936,0.186473028,-4386,3.5057,33.8084,5,Myctophidae,Diaphus_lucidus,0
119,2017,IK2017_13,-47.9776,59.9121,6.201493835,0.012634279,0.201724315,-4445,3.4992,33.8116,3,Myctophidae,Diaphus_lucidus,0
120,2017,IK2017_14,-48.4337,64.9031,5.18632609,0.001203055,0.179610314,-2048,2.6042,33.8191,3,Myctophidae,Diaphus_lucidus,0
121,2017,IK2017_18,-48.803,72.3831,4.479993693,0.000643911,0.366891557,-1910,1.6316,33.9656,4,Myctophidae,Diaphus_lucidus,0
122,2017,IK2017_19,-48.788,72.2298,4.471322123,0.000370535,0.542441453,-1776,1.6381,33.9677,2,Myctophidae,Diaphus_lucidus,0
123,2017,IK2017_20,-48.7356,72.1002,4.48515981,0.00033291,0.657678375,-1817,1.6441,33.9688,4,Myctophidae,Diaphus_lucidus,0
124,2017,IK2017_21,-48.7141,72.0589,4.472662862,0.00033291,0.697737206,-1833,1.6702,33.9724,4,Myctophidae,Diaphus_lucidus,0
125,2017,IK2017_22,-45.0254,73.2931,11.01582845,0.07598099,0.256411491,-3570,12.2083,34.9016,1,Myctophidae,Diaphus_lucidus,0
126,2017,IK2017_23,-42.5002,74.8797,12.81315816,0.018398434,0.501556706,-3375,12.1095,34.9744,1,Myctophidae,Diaphus_lucidus,20
127,2017,IK2017_24,-38.5567,77.5019,16.06149343,0.001184604,0.278035769,-900,12.4755,35.0774,1,Myctophidae,Diaphus_lucidus,0
128,2017,IK2017_25,-35.1848,79.4557,19.65632222,0.002406564,0.061702985,-3279,12.4742,35.0773,1,Myctophidae,Diaphus_lucidus,0
129,2018,IK2018_1,-34.7605,52.9028,19.4,0.0123,0.127,-3578,13.7919,35.3358,1,Myctophidae,Diaphus_lucidus,0
130,2018,IK2018_2,-38.6317,52.9028,17.40749257,0.093537223,0.310233313,-4492,14.8186,35.4674,1,Myctophidae,Diaphus_lucidus,0
131,2018,IK2018_5,-44.9955,52.0635,7.319493612,0.004176355,0.37600412,-3246,2.8245,33.9409,3,Myctophidae,Diaphus_lucidus,0
132,2018,IK2018_6,-46.6155,52.1622,5.729489644,0.008072032,0.277141997,-1074,2.8438,33.9462,4,Myctophidae,Diaphus_lucidus,0
133,2018,IK2018_8,-51.7585,51.7353,3.849327596,0.006646733,0.241293274,-4830,1.224,34.2603,3,Myctophidae,Diaphus_lucidus,0
