"lon","lat"
64.0283,-62.6237
64.5996,-62.7346
65.1709,-62.8652
65.7861,-62.9352
66.4233,-63.0051
66.9507,-63.0251
67.6318,-63.035
68.335,-63.035
69.0381,-63.035
69.7412,-63.035
70.4663,-63.045
70.9497,-63.0251
71.5649,-63.0051
72.0703,-63.0051
72.5977,-62.9852
73.125,-62.9752
73.6304,-62.9852
74.1577,-63.0051
74.3994,-62.9902
74.6411,-62.9452
74.8499,-62.8752
75.0586,-62.805
75.4321,-62.6842
75.6848,-62.6287
75.9595,-62.6035
76.2341,-62.6035
76.4868,-62.654
76.6956,-62.7195
76.8604,-62.805
77.0361,-62.9652
77.135,-63.055
77.2339,-63.1444
77.3657,-63.2138
77.5195,-63.2633
77.6843,-63.3028
77.8711,-63.3225
78.1128,-63.3225
78.3765,-63.2929
78.5962,-63.2386
78.8159,-63.1841
79.0247,-63.1395
79.3213,-63.1047
79.552,-63.0898
79.7827,-63.0997
80.1123,-63.1544
80.365,-63.2287
80.6177,-63.3028
80.9473,-63.4358
81.2769,-63.5779
81.5186,-63.7047
81.8701,-63.86
82.2437,-63.9952
82.5952,-64.1298
82.9028,-64.2064
83.2324,-64.2732
83.5291,-64.2875
83.9575,-64.2971
84.353,-64.2732
84.7046,-64.2064
84.9683,-64.0241
85.0562,-63.8213
85.1111,-63.6365
85.155,-63.4112
85.3198,-63.1841
85.3857,-62.9752
85.4297,-62.7447
85.3857,-62.5123
85.3638,-62.2679
85.4517,-62.0009
85.5396,-61.8147
85.6494,-61.5541
85.6274,-61.2913
85.6055,-61.037
85.5505,-60.8984
85.4407,-60.7484
85.2539,-60.5005
85.144,-60.2943
85.0562,-59.977
84.9463,-59.701
84.8474,-59.4562
84.6881,-59.2603
84.5178,-59.0998
84.342,-58.9812
84.1608,-58.8734
83.9246,-58.7597
83.6719,-58.6484
83.4521,-58.5568
83.2599,-58.4966
82.9962,-58.442
82.7106,-58.3643
82.392,-58.2806
82.2382,-58.2402
82.1173,-58.1852
82.0541,-58.1142
81.991,-58.043
81.969,-57.874
82.002,-57.7628
82.0459,-57.6807
82.1338,-57.5748
82.3535,-57.4686
82.7271,-57.3976
83.1445,-57.4095
83.606,-57.4922
84.0674,-57.6101
84.397,-57.7745
84.7485,-57.9265
85.0342,-58.0895
85.3418,-58.2806
85.5505,-58.442
85.7263,-58.6484
85.8252,-58.8251
86.001,-59.0519
86.1108,-59.2996
86.1768,-59.4786
86.2646,-59.6566
86.3525,-59.8227
86.4624,-59.9825
86.6382,-60.1196
86.8579,-60.2943
87.0996,-60.4518
87.3688,-60.587
87.7808,-60.7269
88.1323,-60.7913
88.5718,-60.8449
88.9893,-60.8663
89.4727,-60.885
89.7281,-60.8717
89.9506,-60.8583
90.1566,-60.8195
90.3296,-60.7806
90.5054,-60.7269
90.6921,-60.6624
90.9229,-60.6031
91.1975,-60.533
91.582,-60.4572
92.0874,-60.3541
92.5488,-60.2889
92.9224,-60.2289
93.3728,-60.1524
93.8232,-60.1087
94.2627,-60.0977
94.6802,-60.0868
95.1416,-60.0868
95.4932,-60.0977
95.9326,-60.0977
